,Week Number,Referral Screen Mins,Referrals Rejected,Referrals Delay Opt-in,Referrals Opted-in,Referrals Wait Opt-in,TA Total Accept,Run
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1,1698.842757735186,22.0,0.3824066708619282,32.0,1.2998273221994532,4.0,0
2,2,3933.5300127763426,53.0,0.3964764837548052,69.0,1.553847764540409,8.0,0
3,3,6506.2999484666725,95.0,0.41310876479659103,112.0,1.4688068632207754,13.0,0
4,4,8937.442412993027,133.0,0.38901136403103587,162.0,1.4716726244354026,17.0,0
5,5,11237.75624833725,172.0,0.39809001773512215,210.0,1.505600769899835,21.0,0
6,6,13469.76988959141,211.0,0.39416277758082585,253.0,1.506690461638705,26.0,0
7,7,15787.2754894865,247.0,0.3995302615415141,296.0,1.5345235554986234,31.0,0
8,8,18111.175315953282,278.0,0.41615671860809644,347.0,1.5524732291226904,36.0,0
9,9,20206.21474215868,309.0,0.4136783798500089,390.0,1.5731302730555667,41.0,0
10,10,22446.6736618471,347.0,0.407040905083159,421.0,1.5603582042340014,45.0,0
11,11,24651.80198962168,373.0,0.4075492978422583,466.0,1.5779624739567066,50.0,0
12,12,27038.120227050473,417.0,0.4017545870983216,503.0,1.5650314979293103,54.0,0
13,13,28972.92964251661,447.0,0.40239679622288493,539.0,1.5698153706961173,59.0,0
14,14,30763.280461697766,475.0,0.4026310890690081,578.0,1.5650029490222788,64.0,0
15,15,32386.484972972215,494.0,0.4017321003446217,607.0,1.5575815627156275,69.0,0
16,16,34389.702183417314,519.0,0.4054589940025281,647.0,1.5697251912030419,74.0,0
17,17,36408.588628540034,542.0,0.39902379276848743,682.0,1.5651411130443091,79.0,0
18,18,38193.90420358429,569.0,0.3966372747668216,718.0,1.5798714920856136,83.0,0
19,19,40119.277043731716,596.0,0.39615995989995817,749.0,1.5747435632593385,87.0,0
20,20,42077.834423415334,617.0,0.39563110404921276,789.0,1.5683350596493306,92.0,0
21,21,44204.39165776315,648.0,0.38996325233545354,827.0,1.5614053915578447,97.0,0
22,22,45738.13494743848,670.0,0.387886811790964,850.0,1.5599882470742787,101.0,0
23,23,47644.58838214379,691.0,0.38794729854400106,893.0,1.5741918231220438,106.0,0
24,24,49541.908959976776,721.0,0.3870111940628731,928.0,1.5738385450961814,111.0,0
25,25,51387.70344690271,747.0,0.38574956286011963,960.0,1.5532974353295272,116.0,0
26,26,53391.87568619718,778.0,0.3847314283409566,983.0,1.547406907472736,120.0,0
27,27,55347.915814055006,805.0,0.3814071432943275,1014.0,1.5353676149297222,125.0,0
