,Caseload ID,Caseload Level,Run Number,Week Number
0,pwp_0,49,0,0
1,pwp_1,49,0,0
2,pwp_2,47,0,0
3,pwp_3,50,0,0
4,pwp_4,47,0,0
5,pwp_5,49,0,0
6,pwp_6,49,0,0
7,pwp_7,49,0,0
8,pwp_8,49,0,0
9,pwp_9,49,0,0
10,pwp_10,48,0,0
11,pwp_11,48,0,0
12,cbt_0,25,0,0
13,cbt_1,23,0,0
14,cbt_2,24,0,0
15,cbt_3,25,0,0
16,cbt_4,25,0,0
17,cbt_5,25,0,0
18,cbt_6,25,0,0
19,cbt_7,25,0,0
20,cbt_8,25,0,0
21,cbt_9,25,0,0
22,cbt_10,25,0,0
23,cbt_11,25,0,0
24,cbt_12,25,0,0
25,cbt_13,25,0,0
26,couns_0,25,0,0
27,couns_1,23,0,0
28,couns_2,25,0,0
29,couns_3,25,0,0
30,pwp_0,47,0,1
31,pwp_1,47,0,1
32,pwp_2,46,0,1
33,pwp_3,49,0,1
34,pwp_4,46,0,1
35,pwp_5,47,0,1
36,pwp_6,47,0,1
37,pwp_7,46,0,1
38,pwp_8,49,0,1
39,pwp_9,46,0,1
40,pwp_10,46,0,1
41,pwp_11,48,0,1
42,cbt_0,25,0,1
43,cbt_1,23,0,1
44,cbt_2,24,0,1
45,cbt_3,25,0,1
46,cbt_4,25,0,1
47,cbt_5,25,0,1
48,cbt_6,25,0,1
49,cbt_7,25,0,1
50,cbt_8,25,0,1
51,cbt_9,25,0,1
52,cbt_10,25,0,1
53,cbt_11,25,0,1
54,cbt_12,25,0,1
55,cbt_13,25,0,1
56,couns_0,25,0,1
57,couns_1,23,0,1
58,couns_2,25,0,1
59,couns_3,24,0,1
60,pwp_0,46,0,2
61,pwp_1,45,0,2
62,pwp_2,46,0,2
63,pwp_3,47,0,2
64,pwp_4,46,0,2
65,pwp_5,46,0,2
66,pwp_6,44,0,2
67,pwp_7,44,0,2
68,pwp_8,45,0,2
69,pwp_9,44,0,2
70,pwp_10,45,0,2
71,pwp_11,47,0,2
72,cbt_0,25,0,2
73,cbt_1,23,0,2
74,cbt_2,24,0,2
75,cbt_3,25,0,2
76,cbt_4,25,0,2
77,cbt_5,25,0,2
78,cbt_6,25,0,2
79,cbt_7,24,0,2
80,cbt_8,25,0,2
81,cbt_9,25,0,2
82,cbt_10,25,0,2
83,cbt_11,25,0,2
84,cbt_12,25,0,2
85,cbt_13,25,0,2
86,couns_0,24,0,2
87,couns_1,23,0,2
88,couns_2,25,0,2
89,couns_3,24,0,2
90,pwp_0,45,0,3
91,pwp_1,42,0,3
92,pwp_2,45,0,3
93,pwp_3,47,0,3
94,pwp_4,44,0,3
95,pwp_5,44,0,3
96,pwp_6,42,0,3
97,pwp_7,41,0,3
98,pwp_8,44,0,3
99,pwp_9,44,0,3
100,pwp_10,45,0,3
101,pwp_11,46,0,3
102,cbt_0,25,0,3
103,cbt_1,23,0,3
104,cbt_2,24,0,3
105,cbt_3,25,0,3
106,cbt_4,25,0,3
107,cbt_5,24,0,3
108,cbt_6,25,0,3
109,cbt_7,24,0,3
110,cbt_8,25,0,3
