,Source,Run Number,Week Number,Route Name,Num Waiting,Avg Wait,Max Wait,Run
0,PwP WL,0,0,pwp,209,,,0
1,Referral Gen,0,0,pwp,28,0.0,0.0,0
2,PwP WL,0,0,group,0,,,0
3,Referral Gen,0,0,group,0,,,0
4,PwP WL,0,1,pwp,185,,,0
5,Referral Gen,0,1,pwp,52,0.5384615384615384,1.0,0
6,PwP WL,0,1,group,0,,,0
7,Referral Gen,0,1,group,6,0.0,0.0,0
8,PwP WL,0,2,pwp,161,,,0
9,Referral Gen,0,2,pwp,68,1.1764705882352942,2.0,0
10,PwP WL,0,2,group,0,,,0
11,Referral Gen,0,2,group,0,,,0
12,PwP WL,0,3,pwp,137,,,0
13,Referral Gen,0,3,pwp,93,1.5913978494623655,3.0,0
14,PwP WL,0,3,group,0,,,0
15,Referral Gen,0,3,group,6,0.0,0.0,0
16,PwP WL,0,4,pwp,113,,,0
17,Referral Gen,0,4,pwp,102,2.3627450980392157,4.0,0
18,PwP WL,0,4,group,0,,,0
19,Referral Gen,0,4,group,0,,,0
20,PwP WL,0,5,pwp,89,,,0
21,Referral Gen,0,5,pwp,116,2.956896551724138,5.0,0
22,PwP WL,0,5,group,0,,,0
23,Referral Gen,0,5,group,3,0.0,0.0,0
24,PwP WL,0,6,pwp,65,,,0
25,Referral Gen,0,6,pwp,127,3.6141732283464565,6.0,0
26,PwP WL,0,6,group,0,,,0
27,Referral Gen,0,6,group,6,0.5,1.0,0
28,PwP WL,0,7,pwp,41,,,0
29,Referral Gen,0,7,pwp,148,3.9594594594594597,7.0,0
30,PwP WL,0,7,group,0,,,0
31,Referral Gen,0,7,group,1,0.0,0.0,0
32,PwP WL,0,8,pwp,17,,,0
33,Referral Gen,0,8,pwp,166,4.421686746987952,8.0,0
34,PwP WL,0,8,group,0,,,0
35,Referral Gen,0,8,group,6,0.16666666666666666,1.0,0
36,PwP WL,0,9,pwp,0,,,0
37,Referral Gen,0,9,pwp,167,5.0119760479041915,9.0,0
38,PwP WL,0,9,group,0,,,0
39,Referral Gen,0,9,group,3,0.0,0.0,0
40,PwP WL,0,10,pwp,0,,,0
41,Referral Gen,0,10,pwp,159,4.823899371069182,9.0,0
42,PwP WL,0,10,group,0,,,0
43,Referral Gen,0,10,group,6,0.5,1.0,0
44,PwP WL,0,11,pwp,0,,,0
45,Referral Gen,0,11,pwp,158,4.360759493670886,9.0,0
46,PwP WL,0,11,group,0,,,0
47,Referral Gen,0,11,group,0,,,0
48,PwP WL,0,12,pwp,0,,,0
49,Referral Gen,0,12,pwp,144,4.291666666666667,9.0,0
50,PwP WL,0,12,group,0,,,0
51,Referral Gen,0,12,group,2,0.0,0.0,0
52,PwP WL,0,13,pwp,0,,,0
53,Referral Gen,0,13,pwp,130,4.1,8.0,0
54,PwP WL,0,13,group,0,,,0
55,Referral Gen,0,13,group,6,0.3333333333333333,1.0,0
56,PwP WL,0,14,pwp,0,,,0
57,Referral Gen,0,14,pwp,116,3.9482758620689653,7.0,0
58,PwP WL,0,14,group,0,,,0
59,Referral Gen,0,14,group,0,,,0
60,PwP WL,0,15,pwp,0,,,0
61,Referral Gen,0,15,pwp,107,3.5981308411214954,7.0,0
62,PwP WL,0,15,group,0,,,0
63,Referral Gen,0,15,group,1,0.0,0.0,0
64,PwP WL,0,16,pwp,0,,,0
65,Referral Gen,0,16,pwp,95,3.263157894736842,6.0,0
66,PwP WL,0,16,group,0,,,0
67,Referral Gen,0,16,group,3,0.3333333333333333,1.0,0
68,PwP WL,0,17,pwp,0,,,0
69,Referral Gen,0,17,pwp,82,3.073170731707317,6.0,0
70,PwP WL,0,17,group,0,,,0
71,Referral Gen,0,17,group,0,,,0
72,PwP WL,0,18,pwp,0,,,0
73,Referral Gen,0,18,pwp,66,2.6515151515151514,6.0,0
74,PwP WL,0,18,group,0,,,0
75,Referral Gen,0,18,group,2,0.0,0.0,0
76,PwP WL,0,19,pwp,0,,,0
77,Referral Gen,0,19,pwp,53,2.1132075471698113,4.0,0
78,PwP WL,0,19,group,0,,,0
79,Referral Gen,0,19,group,0,,,0
80,PwP WL,0,20,pwp,0,,,0
81,Referral Gen,0,20,pwp,44,1.2954545454545454,3.0,0
82,PwP WL,0,20,group,0,,,0
83,Referral Gen,0,20,group,3,0.0,0.0,0
84,PwP WL,0,21,pwp,0,,,0
85,Referral Gen,0,21,pwp,27,1.0,2.0,0
86,PwP WL,0,21,group,0,,,0
87,Referral Gen,0,21,group,4,0.75,1.0,0
88,PwP WL,0,22,pwp,0,,,0
89,Referral Gen,0,22,pwp,14,0.21428571428571427,1.0,0
90,PwP WL,0,22,group,0,,,0
91,Referral Gen,0,22,group,5,1.4,2.0,0
92,PwP WL,0,23,pwp,0,,,0
93,Referral Gen,0,23,pwp,1,0.0,0.0,0
94,PwP WL,0,23,group,0,,,0
95,Referral Gen,0,23,group,2,0.0,0.0,0
96,PwP WL,0,24,pwp,0,,,0
97,Referral Gen,0,24,pwp,1,0.0,0.0,0
98,PwP WL,0,24,group,0,,,0
99,Referral Gen,0,24,group,5,0.4,1.0,0
100,PwP WL,0,25,pwp,0,,,0
101,Referral Gen,0,25,pwp,0,,,0
102,PwP WL,0,25,group,0,,,0
103,Referral Gen,0,25,group,0,,,0
0,PwP WL,1,0,pwp,209,,,1
1,Referral Gen,1,0,pwp,18,0.0,0.0,1
2,PwP WL,1,0,group,0,,,1
3,Referral Gen,1,0,group,6,0.0,0.0,1
4,PwP WL,1,1,pwp,185,,,1
5,Referral Gen,1,1,pwp,39,0.46153846153846156,1.0,1
6,PwP WL,1,1,group,0,,,1
7,Referral Gen,1,1,group,0,,,1
8,PwP WL,1,2,pwp,161,,,1
9,Referral Gen,1,2,pwp,52,1.0961538461538463,2.0,1
10,PwP WL,1,2,group,0,,,1
11,Referral Gen,1,2,group,2,0.0,0.0,1
12,PwP WL,1,3,pwp,137,,,1
13,Referral Gen,1,3,pwp,70,1.5571428571428572,3.0,1
14,PwP WL,1,3,group,0,,,1
15,Referral Gen,1,3,group,2,0.0,0.0,1
16,PwP WL,1,4,pwp,113,,,1
17,Referral Gen,1,4,pwp,88,2.034090909090909,4.0,1
18,PwP WL,1,4,group,0,,,1
19,Referral Gen,1,4,group,4,0.5,1.0,1
20,PwP WL,1,5,pwp,89,,,1
21,Referral Gen,1,5,pwp,107,2.4953271028037385,5.0,1
22,PwP WL,1,5,group,0,,,1
23,Referral Gen,1,5,group,6,1.0,2.0,1
24,PwP WL,1,6,pwp,65,,,1
25,Referral Gen,1,6,pwp,124,3.0161290322580645,6.0,1
26,PwP WL,1,6,group,0,,,1
27,Referral Gen,1,6,group,5,0.0,0.0,1
28,PwP WL,1,7,pwp,41,,,1
29,Referral Gen,1,7,pwp,139,3.58273381294964,7.0,1
30,PwP WL,1,7,group,0,,,1
31,Referral Gen,1,7,group,6,0.8333333333333334,1.0,1
32,PwP WL,1,8,pwp,17,,,1
33,Referral Gen,1,8,pwp,153,4.163398692810458,8.0,1
34,PwP WL,1,8,group,0,,,1
35,Referral Gen,1,8,group,4,0.0,0.0,1
36,PwP WL,1,9,pwp,0,,,1
37,Referral Gen,1,9,pwp,163,4.460122699386503,9.0,1
38,PwP WL,1,9,group,0,,,1
39,Referral Gen,1,9,group,4,0.0,0.0,1
40,PwP WL,1,10,pwp,0,,,1
41,Referral Gen,1,10,pwp,148,4.47972972972973,9.0,1
42,PwP WL,1,10,group,0,,,1
43,Referral Gen,1,10,group,6,0.6666666666666666,1.0,1
44,PwP WL,1,11,pwp,0,,,1
45,Referral Gen,1,11,pwp,140,4.214285714285714,8.0,1
46,PwP WL,1,11,group,0,,,1
47,Referral Gen,1,11,group,4,0.0,0.0,1
48,PwP WL,1,12,pwp,0,,,1
49,Referral Gen,1,12,pwp,131,3.9923664122137406,8.0,1
50,PwP WL,1,12,group,0,,,1
51,Referral Gen,1,12,group,6,0.6666666666666666,1.0,1
52,PwP WL,1,13,pwp,0,,,1
53,Referral Gen,1,13,pwp,118,3.8389830508474576,8.0,1
54,PwP WL,1,13,group,0,,,1
55,Referral Gen,1,13,group,1,0.0,0.0,1
56,PwP WL,1,14,pwp,0,,,1
57,Referral Gen,1,14,pwp,106,3.5660377358490565,7.0,1
58,PwP WL,1,14,group,0,,,1
59,Referral Gen,1,14,group,4,0.25,1.0,1
60,PwP WL,1,15,pwp,0,,,1
61,Referral Gen,1,15,pwp,95,3.2,7.0,1
62,PwP WL,1,15,group,0,,,1
63,Referral Gen,1,15,group,5,0.2,1.0,1
64,PwP WL,1,16,pwp,0,,,1
65,Referral Gen,1,16,pwp,83,2.819277108433735,6.0,1
66,PwP WL,1,16,group,0,,,1
67,Referral Gen,1,16,group,1,0.0,0.0,1
68,PwP WL,1,17,pwp,0,,,1
69,Referral Gen,1,17,pwp,70,2.4714285714285715,5.0,1
70,PwP WL,1,17,group,0,,,1
71,Referral Gen,1,17,group,2,0.5,1.0,1
72,PwP WL,1,18,pwp,0,,,1
73,Referral Gen,1,18,pwp,61,1.9344262295081966,4.0,1
74,PwP WL,1,18,group,0,,,1
75,Referral Gen,1,18,group,6,0.5,2.0,1
76,PwP WL,1,19,pwp,0,,,1
77,Referral Gen,1,19,pwp,45,1.6,3.0,1
78,PwP WL,1,19,group,0,,,1
79,Referral Gen,1,19,group,2,0.0,0.0,1
80,PwP WL,1,20,pwp,0,,,1
81,Referral Gen,1,20,pwp,36,1.0,2.0,1
82,PwP WL,1,20,group,0,,,1
83,Referral Gen,1,20,group,5,0.4,1.0,1
84,PwP WL,1,21,pwp,0,,,1
85,Referral Gen,1,21,pwp,19,0.631578947368421,1.0,1
86,PwP WL,1,21,group,0,,,1
87,Referral Gen,1,21,group,6,1.1666666666666667,2.0,1
88,PwP WL,1,22,pwp,0,,,1
89,Referral Gen,1,22,pwp,4,0.0,0.0,1
90,PwP WL,1,22,group,0,,,1
91,Referral Gen,1,22,group,4,0.0,0.0,1
92,PwP WL,1,23,pwp,0,,,1
93,Referral Gen,1,23,pwp,0,,,1
94,PwP WL,1,23,group,0,,,1
95,Referral Gen,1,23,group,1,0.0,0.0,1
96,PwP WL,1,24,pwp,0,,,1
97,Referral Gen,1,24,pwp,0,,,1
98,PwP WL,1,24,group,0,,,1
99,Referral Gen,1,24,group,3,0.3333333333333333,1.0,1
100,PwP WL,1,25,pwp,0,,,1
101,Referral Gen,1,25,pwp,0,,,1
102,PwP WL,1,25,group,0,,,1
103,Referral Gen,1,25,group,5,0.8,2.0,1
