,Route Name,Week Number,Step3 WL,Step3 Q Time,Step3 Clin Mins,Step3 Admin Mins,Step3 Sessions,Step3 DNAs,Step3 Dropout,Step3 Complete,Step3 Caseload,Run
0,CBT,0,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
1,Couns,0,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
2,CBT,1,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
3,Couns,1,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
4,CBT,2,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
5,Couns,2,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
6,CBT,3,0,,30.0,15.0,1,0.0,0.0,0.0,0,0
7,Couns,3,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
8,CBT,4,0,,30.0,15.0,1,0.0,0.0,0.0,0,0
9,Couns,4,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
10,CBT,5,0,,60.0,30.0,2,1.0,0.0,0.0,0,0
11,Couns,5,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
12,CBT,6,0,,60.0,30.0,2,1.0,0.0,0.0,0,0
13,Couns,6,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
14,CBT,7,0,,120.0,60.0,4,3.0,0.0,0.0,0,0
15,Couns,7,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
16,CBT,8,0,,120.0,60.0,4,3.0,0.0,0.0,0,0
17,Couns,8,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
18,CBT,9,0,,120.0,60.0,4,3.0,0.0,0.0,0,0
19,Couns,9,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
20,CBT,10,0,,120.0,60.0,4,3.0,0.0,0.0,0,0
21,Couns,10,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
22,CBT,11,0,,120.0,60.0,4,3.0,0.0,0.0,0,0
23,Couns,11,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
24,CBT,12,0,,150.0,75.0,5,4.0,0.0,0.0,0,0
25,Couns,12,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
26,CBT,13,0,,150.0,75.0,5,4.0,0.0,0.0,0,0
27,Couns,13,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
28,CBT,14,0,,180.0,90.0,6,5.0,0.0,0.0,0,0
29,Couns,14,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
30,CBT,15,0,,180.0,105.0,7,6.0,0.0,0.0,0,0
31,Couns,15,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
32,CBT,16,0,,210.0,120.0,8,7.0,0.0,0.0,0,0
33,Couns,16,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
34,CBT,17,0,,240.0,135.0,9,8.0,0.0,0.0,0,0
35,Couns,17,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
36,CBT,18,0,,240.0,135.0,9,8.0,0.0,0.0,0,0
37,Couns,18,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
38,CBT,19,0,,240.0,135.0,9,8.0,0.0,0.0,0,0
39,Couns,19,0,,0.0,0.0,0,0.0,0.0,0.0,-1,0
40,CBT,20,0,,270.0,150.0,10,9.0,0.0,0.0,0,0
41,Couns,20,0,,0.0,0.0,0,0.0,0.0,0.0,-1,0
42,CBT,21,0,,270.0,150.0,10,9.0,0.0,0.0,0,0
43,Couns,21,0,,0.0,0.0,0,0.0,0.0,0.0,-1,0
44,CBT,22,0,,270.0,150.0,10,9.0,0.0,0.0,0,0
45,Couns,22,0,,0.0,0.0,0,0.0,0.0,0.0,-1,0
