team,referrals_pw,prevalence,ta_wl,ta_avg_wait,ref_rej_rate,screen_pc,ta_accept_rate,step_2_pc,pwp_vs_grp,pwp_wl,pwp_avg_wait,step2_dna_pc,group_size,cbt_vs_depc,cbt_wl,cbt_avg_wait,cbt_dna_first,cbt_dna_fu,depc_wl,depc_avg_wait,depc_dna_first,depc_dna_fu,pwp_wte,cbt_wte,depc_wte
Blackburn with Darwen,107,3992,378,4,6.3,61.6,85.4,47.6,99.6,112,36,10.16203704,3,55.44619423,135,49,11.42217245,7.5669383,195,42,8.467741935,4.863883848,,,
Burnley,48,2800,110,2,7.2,57.2,75.5,50.9,95.4,36,7,8.811188811,3,59.69465649,102,35,9.905660377,5.244479495,115,189,11.11111111,6.011854361,,,
Chorley & South Ribble,116,4141,493,4,4.6,59.1,82.3,52.7,88.8,221,35,8.690149757,9,67.50830565,325,7,11.50259067,4.441283389,290,104,7.90960452,4.95818399,,,
Furness,55,1991,312,5,11.6,99.4,92.6,48.9,100,163,29,6.808896959,2,71.53024911,207,153,7.916666667,4.785217941,71,140,2.790697674,4.245283019,,,
Fylde & Wyre,66,4102,231,3,14.5,43.1,83.5,46.1,99.7,63,24,5.476621028,2,68.68186323,97,15,6.231742941,4.13144422,159,203,5.23255814,4.406580494,,,
Greater Preston,146,5005,541,3,5,63,73.2,46.2,95.4,177,42,10.03282725,4,72.9547642,408,42,10.56682995,6.902191691,286,14,8.045977011,5.235783634,,,
Hyndburn,42,2167,148,3,7.6,54.9,81.9,46.2,94.5,48,21,9.297520661,3,60.57142857,116,7,12.63157895,5.445378151,76,126,9.885931559,2.920830131,,,
Morecambe Bay,91,3548,286,4,10.7,52.7,88.7,43.5,97.6,138,28,7.116402116,4,70.30120482,239,28,7.388854101,4.612971676,266,14,7.6,3.498293515,,,
Pendle,46,2216,114,3,5,61.9,80.8,45.5,98.8,90,14,9.736711376,2,58.01435407,139,28,12.88888889,6.138757719,163,16,8.070175439,4.638833665,,,
Ribble Valley,17,812,43,3,3.5,49.1,82.6,44.2,98.6,33,35,6.755126659,2,56.94050992,64,86,8.121827411,4.614019521,77,197,7.75862069,3.720238095,,,
Rossendale,32,1571,90,3,7.9,49.5,82,48,95.1,44,14,7.968647943,3,62.109375,98,41,8.208955224,5.421950153,56,128,5.454545455,3.737259343,,,
South Lakes,41,1749,195,5,11.7,99.4,92.5,51.6,99.1,80,28,5.070302514,2,76.6062603,175,32,5.411764706,3.983833718,74,112,6.741573034,2.657807309,,,
West Lancs,84,2783,224,2,5.7,56.8,60.6,49.6,99,56,15,8.430747432,4,73.66071429,89,28,8.355091384,3.632523759,115,140,8,5.49132948,,,
