WeekNumber,AvgRef,Mean,Variance,PCVar
1,42,50,-8,-0.16
2,42,50,-8,-0.16
3,42,50,-8,-0.16
4,42,50,-8,-0.16
5,42,50,-8,-0.16
6,42,50,-8,-0.16
7,42,50,-8,-0.16
8,42,50,-8,-0.16
9,42,50,-8,-0.16
10,42,50,-8,-0.16
11,42,50,-8,-0.16
12,42,50,-8,-0.16
13,42,50,-8,-0.16
14,42,50,-8,-0.16
15,42,50,-8,-0.16
16,42,50,-8,-0.16
17,42,50,-8,-0.16
18,42,50,-8,-0.16
19,42,50,-8,-0.16
20,42,50,-8,-0.16
21,42,50,-8,-0.16
22,42,50,-8,-0.16
23,42,50,-8,-0.16
24,42,50,-8,-0.16
25,42,50,-8,-0.16
26,42,50,-8,-0.16
27,42,50,-8,-0.16
28,42,50,-8,-0.16
29,42,50,-8,-0.16
30,42,50,-8,-0.16
31,44,50,-6,-0.12
32,49,50,-1,-0.02
33,51,50,1,0.02
34,50,50,0,0
35,45,50,-5,-0.1
36,53,50,3,0.06
37,53,50,3,0.06
38,54,50,4,0.08
39,55,50,5,0.1
40,49,50,-1,-0.02
41,61,50,11,0.22
42,49,50,-1,-0.02
43,49,50,-1,-0.02
44,57,50,7,0.14
45,53,50,3,0.06
46,54,50,4,0.08
47,55,50,5,0.1
48,49,50,-1,-0.02
49,51,50,1,0.02
50,49,50,-1,-0.02
51,43,50,-7,-0.14
52,24,50,-26,-0.52
53,42,50,-8,-0.16
54,42,50,-8,-0.16
55,42,50,-8,-0.16
56,42,50,-8,-0.16
57,42,50,-8,-0.16
58,42,50,-8,-0.16
59,42,50,-8,-0.16
60,42,50,-8,-0.16
61,42,50,-8,-0.16
62,42,50,-8,-0.16
63,42,50,-8,-0.16
64,42,50,-8,-0.16
65,42,50,-8,-0.16
66,42,50,-8,-0.16
67,42,50,-8,-0.16
68,42,50,-8,-0.16
69,42,50,-8,-0.16
70,42,50,-8,-0.16
71,42,50,-8,-0.16
72,42,50,-8,-0.16
73,42,50,-8,-0.16
74,42,50,-8,-0.16
75,42,50,-8,-0.16
76,42,50,-8,-0.16
77,42,50,-8,-0.16
78,42,50,-8,-0.16
79,42,50,-8,-0.16
80,42,50,-8,-0.16
81,42,50,-8,-0.16
82,42,50,-8,-0.16
83,44,50,-6,-0.12
84,49,50,-1,-0.02
85,51,50,1,0.02
86,50,50,0,0
87,45,50,-5,-0.1
88,53,50,3,0.06
89,53,50,3,0.06
90,54,50,4,0.08
91,55,50,5,0.1
92,49,50,-1,-0.02
93,61,50,11,0.22
94,49,50,-1,-0.02
95,49,50,-1,-0.02
96,57,50,7,0.14
97,53,50,3,0.06
98,54,50,4,0.08
