WeekNumber,AvgRef,Mean,Variance,PCVar
1,49,50,-1,-0.02
2,55,50,5,0.1
3,65,50,15,0.3
4,61,50,11,0.22
5,58,50,8,0.16
6,56,50,6,0.12
7,57,50,7,0.14
8,58,50,8,0.16
9,52,50,2,0.04
10,54,50,4,0.08
11,55,50,5,0.1
12,59,50,9,0.18
13,47,50,-3,-0.06
14,44,50,-6,-0.12
15,40,50,-10,-0.2
16,49,50,-1,-0.02
17,50,50,0,0
18,44,50,-6,-0.12
19,47,50,-3,-0.06
20,49,50,-1,-0.02
21,53,50,3,0.06
22,38,50,-12,-0.24
23,47,50,-3,-0.06
24,47,50,-3,-0.06
25,46,50,-4,-0.08
26,49,50,-1,-0.02
27,49,50,-1,-0.02
28,48,50,-2,-0.04
29,50,50,0,0
30,45,50,-5,-0.1
31,44,50,-6,-0.12
32,49,50,-1,-0.02
33,51,50,1,0.02
34,50,50,0,0
35,45,50,-5,-0.1
36,53,50,3,0.06
37,53,50,3,0.06
38,55,50,5,0.1
39,55,50,5,0.1
40,49,50,-1,-0.02
41,61,50,11,0.22
42,49,50,-1,-0.02
43,49,50,-1,-0.02
44,57,50,7,0.14
45,53,50,3,0.06
46,54,50,4,0.08
47,55,50,5,0.1
48,49,50,-1,-0.02
49,53,50,3,0.06
50,49,50,-1,-0.02
51,43,50,-7,-0.14
52,22,50,-28,-0.56
